School year,Affiliation,Branches of Interest,Cinsiyet
2,Harran Üniversitesi,Algebraic Number Theory,Kadin
4,Hacettepe University,Probability Theory,Kadin
1,Gebze Technical University,Quantum Theory,Erkek
4,Uludağ Üniversitesi,Classical Mechanics,Erkek
4,ODTU,Quantum Theory,Kadin
1,ITU,Mathematical Modeling,Kadin
3,ITU,Complex Analysis,Erkek
3,Hacettepe University,Cryptography/Coding theory,Kadin
2,İzmir Yüksek Teknoloji Üniversitesi,Quantum Theory,Erkek
1,Harran Üniversitesi,Hydrodynamic Instability,Erkek
2,Gazi University,Data Science,Kadin
3,Balikesir Üniversitesi,Statistics,Kadin
1,Gazi University,Real Analysis/Functional Analysis,Kadin
3,Bursa Teknik Üniversitesi,Cryptography/Coding theory,Erkek
1,Sabanci Üniversitesi,Algebra,Erkek
2,Gazi University,Classical Mechanics,Kadin
3,Balikesir Üniversitesi,Data Science,Erkek
1,ITU,Quantum Theory,Erkek
1,İzmir Yüksek Teknoloji Üniversitesi,Probability Theory,Erkek
1,Boğaziçi University,Real Analysis/Functional Analysis,Erkek
2,Boğaziçi University,Cryptography/Coding theory,Kadin
2,Harran Üniversitesi,Algebraic Number Theory,Kadin
1,Gazi University,Fluid Dynamics,Kadin
3,Bursa Teknik Üniversitesi,Classical Mechanics,Erkek
3,Gazi University,Real Analysis/Functional Analysis,Kadin
2,Boğaziçi University,Statistics,Erkek
2,Gazi University,Complex Analysis,Erkek
2,Gazi University,Real Analysis/Functional Analysis,Kadin
2,Bilkent Üniversitesi,Topology,Erkek
2,Harran Üniversitesi,Algebra,Erkek
2,ODTU,Cryptography/Coding theory,Erkek
3,Bilkent Üniversitesi,Classical Mechanics,Kadin
3,Bursa Teknik Üniversitesi,Partial Differential Equations,Kadin
1,Hacettepe University,Real Analysis/Functional Analysis,Kadin
3,ODTU,Complex Systems/Dynamical Systems,Erkek
4,ITU,Probability Theory,Erkek
3,Uludağ Üniversitesi,Real Analysis/Functional Analysis,Erkek
4,Bilkent Üniversitesi,Real Analysis/Functional Analysis,Erkek
4,Sabanci Üniversitesi,Complex Analysis,Kadin
3,Bursa Teknik Üniversitesi,Complex Systems/Dynamical Systems,Erkek
3,Bursa Teknik Üniversitesi,Complex Analysis,Kadin
3,Bilkent Üniversitesi,Data Science,Erkek
3,Sabanci Üniversitesi,Cryptography/Coding theory,Erkek
2,Gazi University,Mathematical Modeling,Erkek
1,Gazi University,Topology,Erkek
1,ITU,Fluid Dynamics,Kadin
1,Uludağ Üniversitesi,Complex Analysis,Kadin
1,Bursa Teknik Üniversitesi,Partial Differential Equations,Erkek
3,Bilkent Üniversitesi,Statistics,Kadin
3,Gebze Technical University,Complex Systems/Dynamical Systems,Kadin
4,Hacettepe University,Complex Systems/Dynamical Systems,Kadin
2,Gebze Technical University,Quantum Theory,Kadin
1,Harran Üniversitesi,Mathematical Modeling,Erkek
3,İzmir Yüksek Teknoloji Üniversitesi,Fluid Dynamics,Erkek
2,Gebze Technical University,Quantum Theory,Kadin
3,Sabanci Üniversitesi,Fluid Dynamics,Erkek
1,Sabanci Üniversitesi,Topology,Erkek
4,ODTU,Algebra,Erkek
3,Sabanci Üniversitesi,Analysis,Kadin
1,Uludağ Üniversitesi,Complex Systems/Dynamical Systems,Kadin
2,Hacettepe University,Algebraic Number Theory,Erkek
4,ITU,Partial Differential Equations,Erkek
2,Koç Üniversitesi,Cryptography/Coding theory,Erkek
3,Bursa Teknik Üniversitesi,Algebra,Erkek
1,Bursa Teknik Üniversitesi,Algebraic Number Theory,Kadin
3,İzmir Yüksek Teknoloji Üniversitesi,Classical Mechanics,Erkek
3,Boğaziçi University,Analysis,Kadin
4,Hacettepe University,Complex Systems/Dynamical Systems,Erkek
4,Bilkent Üniversitesi,Statistics,Kadin
1,Hacettepe University,Mathematical Modeling,Erkek
4,Koç Üniversitesi,Real Analysis/Functional Analysis,Erkek
3,Koç Üniversitesi,Mathematical Modeling,Erkek
1,ITU,Mathematical Modeling,Kadin
2,Boğaziçi University,Probability Theory,Kadin
3,Koç Üniversitesi,Algebraic Number Theory,Kadin
1,Sabanci Üniversitesi,Complex Analysis,Kadin
3,Harran Üniversitesi,Mathematical Modeling,Kadin
1,Gazi University,Cryptography/Coding theory,Erkek
2,Harran Üniversitesi,Analysis,Kadin
1,ODTU,Data Science,Erkek
1,Hacettepe University,Complex Analysis,Erkek
3,Bilkent Üniversitesi,Topology,Erkek
1,Koç Üniversitesi,Mathematical Modeling,Erkek
1,Boğaziçi University,Hydrodynamic Instability,Kadin
4,Hacettepe University,Algebraic Number Theory,Erkek
2,ITU,Topology,Kadin
2,Hacettepe University,Topology,Kadin
2,Hacettepe University,Fluid Dynamics,Kadin
3,Bursa Teknik Üniversitesi,Probability Theory,Erkek
3,Gazi University,Analysis,Erkek
2,Balikesir Üniversitesi,Probability Theory,Erkek
2,Gebze Technical University,Data Science,Kadin
4,Boğaziçi University,Classical Mechanics,Erkek
4,Bursa Teknik Üniversitesi,Probability Theory,Erkek
3,Hacettepe University,Cryptography/Coding theory,Erkek
3,ITU,Statistics,Kadin
1,İzmir Yüksek Teknoloji Üniversitesi,Topology,Erkek
4,Boğaziçi University,Mathematical Modeling,Kadin
1,İzmir Yüksek Teknoloji Üniversitesi,Real Analysis/Functional Analysis,Kadin
2,Hacettepe University,Classical Mechanics,Erkek
